stop_lat,stop_lon,type,multimodal
28.688069174713,76.9654397279275,Bus,Tikri Border Metro Station(U00143_76)
28.6875,76.9708,Bus,Tikari Village(U00165_77)
28.6869,76.9783,Bus,Tikri Hospital(U00194_78)
28.686817,76.979933,Bus,Tikri Piyau / Azad Hind Gram(U00211_79)
28.686267,76.986533,Bus,Indian Oil Corporation(DC3758_80)
28.686112,76.994467,Bus,Ghevra Crossing (Kanjhawala Road)(U00282_81)
28.69285,76.993943,Bus,FCI Ghevra(U00271_82)
28.696524,76.997956,Bus,Ghevra Village(U00290_83)
28.707239,77.001132,Bus,Sir Chhotu Ram Polytechnic(U00302_84)
28.7141664299404,77.0031881385706,Bus,Haryana Shakti School Kanjhawla(U00317_85)
28.723483,77.004474,Bus,Desu Sub Station(U00322_86)
28.733592,77.004502,Bus,Kanjhawala Village(U00327_88)
28.738005,77.007551,Bus,Kanjhawla Chowk(DC5154_89)
28.738824,77.008263,Bus,Kanjhawla School(DC4516_90)
28.751435,77.014409,Bus,Chandpur Kalan Crossing(DC4517_91)
28.75137,77.00975,Bus,Chand Pur Village(DC5155_92)
28.75329,77.00775,Bus,Chand Pur Village(DC5158_93)
28.75895,76.99894,Bus,Chand Pur Majra School(DC5159_94)
28.76899,76.99852,Bus,Majra Dabas Village(DC5161_95)
28.7666506423272,77.0164091280802,Bus,Prem Piyau(DC4519_96)
28.779779,77.021947,Bus,Shri Krishna Gaushala(DC4520_97)
28.7850261947954,77.0238674277204,Bus,Bajit Pur Crossing(DC4521_98)
28.787599,77.025648,Bus,Krishna Vihar(DC4522_99)
28.794529,77.029967,Bus,Ishwar Colony(DC4523_100)
28.797939,77.031709,Bus,Panchayat Ghar(DC4524_101)
28.797795,77.034329,Bus,Primary School(DC4525_102)
28.800379,77.036058,Bus,Bawana Village Chowk(DC4526_103)
28.74539,77.13727,Bus,Badli Railway Staion(U01343_104)
28.743133,77.146286,Bus,Prem Nagar(DC3772_106)
28.6676101,77.210806,Bus,Ice Factory (Nityanand Marg)(U02440_107)
28.665616,77.230079,Bus,ISBT Kashmere Gate (Lothian Road)(U02716_108)
28.665677,77.230238,Bus,Guru Govind Singh University (Kashmere Gate)(U02791_109)
28.661738,77.235311,Bus,GPO(U02842_110)
28.660050681036,77.2278921212096,Bus,Old Delhi Railway Station (T)(U02739_111)
28.67409,77.286865,Bus,Shahdara Terminal(U03402_112)
28.6730434411508,77.2827487465114,Bus,Shahdara (Shyam Lal College)(U03349_113)
28.6704,77.2809,Bus,Kanti Nagar Extension(U03340_114)
28.66785,77.28225,Bus,Jharkhandi(U03346_115)
28.666167,77.283917,Bus,East Azad Nagar(U03384_116)
28.663502,77.285917,Bus,Swaran Cinema(U03394_117)
28.661,77.2878,Bus,Krishna Nagar A Block(U03404_118)
28.6582,77.29,Bus,Hans Apartment(U03430_119)
28.6564,77.2915,Bus,Arjun Nagar(U03444_120)
28.654,77.2925,Bus,Radheypuri(U03457_121)
28.651637,77.293123,Bus,Jagatpuri  A Block(U03461_122)
28.648036,77.295529,Bus,Jagatpuri F-Block(U03476_123)
28.6455,77.2979,Bus,Gagan Vihar(U99881_124)
28.642867,77.29725,Bus,Karkardooma Xing(U03500_125)
28.64215,77.29625,Bus,New Rajdhani Enclave(U03485_126)
28.639333,77.292417,Bus,Preet Vihar(DC0109_127)
28.636783,77.287683,Bus,Nirman Vihar(U03416_128)
28.635367,77.28495,Bus,Shakarpur Crossing(U03380_129)
28.633394,77.281942,Bus,Shakarpur(U03345_130)
28.6313,77.2789,Bus,Laxmi Nagar(U03307_131)
28.628033,77.260933,Bus,Rainy Well(U03160_132)
28.62795,77.25235,Bus,Delhi Secretariat(U03055_133)
28.627967,77.244433,Bus,ITO(U02961_134)
28.6253,77.2387,Bus,Tilak Bridge(U02887_135)
28.625633,77.234,Bus,Mandi House(U02831_136)
28.625035,77.230571,Bus,Mandi House(U02790_137)
28.623228,77.226725,Bus,Kasturba Gandhi Road Crossing(DC4132_138)
28.621,77.2215,Bus,Firoz Shah Road(U02621_139)
28.619225,77.217521,Bus,Le Meridian Hotel / Rajendra Prasad Road(DC4133_140)
28.616983,77.2137,Bus,Krishi Bhawan(U02495SB_141)
28.618035,77.210453,Bus,Red Cross Road(U02444_142)
28.62065,77.2098,Bus,Aakashwani Bhawan (Imtiyaz Ali Road)(U02437_143)
28.6209,77.2073,Bus,Gurudwara Rakab Ganj Road(U02375_144)
28.617383,77.20395,Bus,Kendriya Terminal (Church Road)(U02293Z_145)
28.614614,76.978024,Bus,Najafgarh Terminal(U00191_146)
28.613617,76.979717,Bus,Jharoda Crossing/Nazafgarh Terminal(U00201_147)
28.6144807426422,76.9810620215328,Bus,Jharoda Crossing(DC3555_148)
28.61415,76.985217,Bus,Health Centre(DC3556_149)
28.612627,76.986253,Bus,NajafGarh Delhi Gate(U00259_150)
28.612622,76.99151,Bus,Tuda Mandi(U00260_151)
28.614667,77.0034,Bus,Nangli Sakrawati(U00314_154)
28.6163352570658,77.0073543378838,Bus,Nangli Sakrawati Crossing(U00331_155)
28.618,77.012067,Bus,Arjun Park(U00355_156)
28.619105,77.015167,Bus,Chhathh Ghat Park(DC4882_157)
28.620133,77.01795,Bus,Nangli Dairy(U00368_158)
28.6202099508252,77.0241265592978,Bus,Kakrola Bridge(U00378_159)
28.6191819992233,77.0292680534555,Bus,Kakrola More(U00387_160)
28.6191187419137,77.0317966190821,Bus,Kakrola More(U00395_161)
28.6193619889124,77.0331014179019,Bus,Dwarka More Metro Station (Sewak Park)(DC3568_162)
28.6199180152742,77.0365693721528,Bus,Rama Park(U00425_163)
28.62029,77.039178,Bus,Mohan Garden(U00453_164)
28.6203564,77.0449947,Bus,Nawada Gaon(U00464_165)
28.620876,77.049338,Bus,Kiran Garden(U00491_166)
28.621124,77.051543,Bus,Om Vihar(U00503_167)
28.621946,77.056321,Bus,Prem Nagar(U00538_168)
28.623017,77.06031,Bus,Uttam Nagar(U00561_169)
28.624813,77.067696,Bus,Uttam Nagar / A1 Janak Puri(U00601_170)
28.621617,77.069969,Bus,Tilak Pul(U00623_171)
28.620041,77.073165,Bus,Jivan park(U00651_172)
28.618239,77.076935,Bus,C-1 Janak Puri(U00680_173)
28.616152,77.081383,Bus,C-2 Janak Puri(U00741_175)
28.614365,77.085484,Bus,C2D Janak Puri(DC4710_176)
28.61305,77.088391,Bus,Dabri Crossing (Pankha Road)(U00813_177)
28.611026,77.093012,Bus,Janak Cinema(U00876_178)
28.610049,77.095367,Bus,Desu Colony Janak Puri(U00907_179)
28.609265,77.100931,Bus,SagarPur Vashisht park(U00974_180)
28.61096,77.103583,Bus,D Block Janak Puri(U01004_181)
28.614,77.1062,Bus,Lajwanti Garden(U01019_182)
28.61313,77.109679,Bus,Lajwanti Garden (Carriappa Marg)(U01044_183)
28.6107,77.1139,Bus,Janak Setu(U01079_184)
28.606783,77.123367,Bus,Supply Depot(U01164_185)
28.604833,77.128283,Bus,Kirbi Place(U04005A_186)
28.602817,77.133517,Bus,Thimiyan Park(NS0256_187)
28.600317,77.139733,Bus,S O Flats Carriappa Marg(U01356CV_188)
